ID,Array
62,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, -4.235164736271502e-22, 0.0, 2.6469779601696886e-23, 0.0, 3.3881317890172014e-21, 8.470329472543003e-22, 0.0, 3.3881317890172014e-21, 0.0]"
63,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.710505431213761e-20, 0.0, 0.0, 0.0, -2.117582368135751e-22, -3.3881317890172014e-21, 0.0, 0.0, 0.0, -4.235164736271502e-22, 0.0]"
64,"[0.0, 0.0, -1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -6.776263578034403e-21, 0.0, 3.3881317890172014e-21, 3.3881317890172014e-21, 3.3881317890172014e-21, 1.3234889800848443e-23, -1.6940658945086007e-21, 3.308722450212111e-24, 0.0, 0.0]"
65,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0587911840678754e-22, 6.776263578034403e-21, -1.6543612251060553e-24, 0.0, 0.0, 5.293955920339377e-23, 6.776263578034403e-21, 0.0, -1.0587911840678754e-22, 0.0]"
66,"[4.336808689942018e-19, 0.0, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.271806125530277e-25, 0.0, -8.470329472543003e-22, -1.6543612251060553e-24, -1.0587911840678754e-22, -2.117582368135751e-22, 1.3552527156068805e-20, -1.3552527156068805e-20]"
67,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -6.776263578034403e-21, -6.776263578034403e-21, 1.3552527156068805e-20, -3.3881317890172014e-21, 1.3552527156068805e-20, -8.470329472543003e-22, 0.0, 0.0, 0.0, 6.776263578034403e-21]"
68,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.776263578034403e-21, -4.235164736271502e-22, 1.6940658945086007e-21, 2.6469779601696886e-23, 0.0, 0.0, 0.0, -1.0587911840678754e-22, 8.470329472543003e-22]"
69,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, 8.470329472543003e-22, 0.0, -1.3552527156068805e-20, 0.0, -1.3552527156068805e-20, -6.617444900424222e-24, 2.6469779601696886e-23]"
70,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3881317890172014e-21, -8.470329472543003e-22, -1.3234889800848443e-23, 0.0, 0.0, -3.3881317890172014e-21, 0.0, 8.470329472543003e-22, -4.235164736271502e-22]"
71,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.470329472543003e-22, 0.0, 0.0, 0.0, 4.235164736271502e-22, 1.6940658945086007e-21, 3.3881317890172014e-21, 0.0, 0.0, 0.0]"
72,"[-2.168404344971009e-19, 0.0, 1.0842021724855044e-19, -2.168404344971009e-19, -3.3881317890172014e-21, -6.776263578034403e-21, -1.0842021724855044e-19, 0.0, 0.0, -5.421010862427522e-20, 0.0, 0.0, -2.117582368135751e-22, 0.0, -1.6940658945086007e-21, 0.0, 0.0, 1.3552527156068805e-20, 0.0, 0.0]"
73,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0587911840678754e-22, 0.0, 4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
74,"[0.0, 2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, 2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, 2.6469779601696886e-23, 1.3552527156068805e-20, 0.0, -2.5849394142282115e-26, 0.0, 1.0587911840678754e-22, 0.0, 0.0, 0.0]"
75,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.117582368135751e-22, -1.3552527156068805e-20, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, -8.470329472543003e-22, 0.0]"
76,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, 3.3881317890172014e-21, -1.6543612251060553e-24, 0.0, 0.0]"
77,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 0.0, 4.235164736271502e-22, 0.0, 3.3881317890172014e-21, 5.293955920339377e-23]"
78,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.421010862427522e-20, -1.0587911840678754e-22, 0.0, 1.3552527156068805e-20, 1.0587911840678754e-22, 0.0, 8.470329472543003e-22, -1.6940658945086007e-21, 0.0, 0.0, -2.6469779601696886e-23]"
79,"[0.0, 0.0, 2.710505431213761e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.710505431213761e-20, 0.0, 5.293955920339377e-23, 2.6469779601696886e-23, -1.0587911840678754e-22, 0.0, 0.0, 0.0, 0.0]"
80,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -8.470329472543003e-22, -6.776263578034403e-21, 0.0, 3.3881317890172014e-21, 1.0587911840678754e-22, 0.0, 0.0, 0.0, 0.0, 0.0]"
81,"[1.0842021724855044e-19, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.3881317890172014e-21, 0.0, 0.0, 0.0, 4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0]"
82,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.776263578034403e-21, 6.776263578034403e-21, 1.6940658945086007e-21, 0.0, 2.0679515313825692e-25, -6.776263578034403e-21, -2.117582368135751e-22, 8.470329472543003e-22, 0.0]"
83,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.336808689942018e-19, 4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, 8.470329472543003e-22, 2.117582368135751e-22, 0.0, 0.0, 0.0]"
84,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.235164736271502e-22, -2.117582368135751e-22, 0.0, 0.0, 8.470329472543003e-22, 0.0, -8.470329472543003e-22, 4.235164736271502e-22, -1.6940658945086007e-21, 0.0]"
85,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3881317890172014e-21, 0.0, 0.0, -3.3881317890172014e-21, 6.617444900424222e-24, 4.235164736271502e-22, -1.6940658945086007e-21, 0.0, -8.271806125530277e-25]"
86,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3552527156068805e-20, 0.0, 0.0, 0.0, 1.0587911840678754e-22, 0.0, -3.308722450212111e-24, 0.0, 8.470329472543003e-22]"
87,"[0.0, 2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.3552527156068805e-20, 0.0, 0.0, -1.6940658945086007e-21, 0.0, 0.0, 8.470329472543003e-22, 1.3552527156068805e-20, 0.0, 0.0, 0.0]"
88,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -6.776263578034403e-21, 3.3881317890172014e-21, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, -1.6940658945086007e-21]"
89,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3552527156068805e-20, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 1.3552527156068805e-20, 0.0, -3.3881317890172014e-21, 0.0]"
90,"[0.0, 2.168404344971009e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.3881317890172014e-21, 1.3552527156068805e-20, 0.0, 0.0, 5.293955920339377e-23, 0.0, 0.0, 0.0, 0.0]"
91,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.3881317890172014e-21, -2.6469779601696886e-23, 0.0, 6.776263578034403e-21, 0.0, 6.776263578034403e-21, 0.0, 0.0]"
